STATEFP,CD,CD_ID,year,State,Region,Division,gisjn_st,st_abbr,CD_ID1,CDIDYR,asnnh_pct,badeg_pct,blknh_pct,hisp_pct,medhhinc,nonwht_pct,pov100_pct,whtnh_pct,dem_vote,repub_vote,total_vote,pct_dem,pct_gop,dist_omit,uncontest_r,uncontest_d,missing
34,10,G3410,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-10,NJ-10-1990,0.545659252,10.54489693,78.72472396,8.32988913,48872.0367,92.52617844,18.4767644,7.473821555,117287,30160,149632,78.38363452,20.15611634,0,0,0,0
34,11,G3411,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-11,NJ-11-1990,2.737085582,37.50821828,1.320132013,2.481187716,107859.2186,7.698075481,2.13592233,92.30192452,68871,188165,268436,25.65639482,70.09678285,0,0,0,0
34,12,G3412,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-12,NJ-12-1990,2.41025641,34.22496571,2.557953637,2.046577276,92657.4864,9.244917715,2.767749699,90.75508228,83035,174216,272757,30.4428484,63.87223793,0,0,0,0
34,13,G3413,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-13,NJ-13-1990,1.628516177,12.38723817,3.077718232,39.04276424,50593.86,59.27212305,15.54685765,40.72787695,93670,44529,145714,64.28345938,30.55917757,0,0,0,0
35,1,G3501,1990,New Mexico,West Region,Mountain Division,G35,NM,NM-01,NM-01-1990,0.853858585,21.27048907,1.540605733,29.34086813,47006.9548,40.81850137,14.30354773,59.18149863,76600,128426,205214,37.32688803,62.58150029,0,0,0,0
35,2,G3502,1990,New Mexico,West Region,Mountain Division,G35,NM,NM-02,NM-02-1990,0.235878636,11.61749388,0.862234621,36.42800944,36961.6255,43.83699769,23.17125452,56.16300231,73157,94838,168170,43.50181364,56.39412499,0,0,0,0
35,3,G3503,1990,New Mexico,West Region,Mountain Division,G35,NM,NM-03,NM-03-1990,0.26119964,15.0965647,0.463192608,31.59155619,39193.9209,44.51378662,20.29128389,55.48621338,122850,54569,182217,67.41961507,29.94726068,0,0,0,0
36,1,G3601,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-01,NY-01-1990,1.179487179,21.45411204,1.349019608,3.798233942,86812.8982,7.151282807,3.718694662,92.84871719,111908,87248,257043,43.53668452,33.94295896,0,0,0,0
36,2,G3602,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-02,NY-02-1990,1.397590361,17.68269595,1.370458995,4.669579465,91389.9198,8.762692742,3.590219746,91.23730726,91320,94208,232997,39.19363769,40.43313862,0,0,0,0
36,3,G3603,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-03,NY-03-1990,2.150729359,28.67373145,0.450994872,3.228973982,101696.3787,6.862164965,2.589955077,93.13783504,116915,108574,293639,39.81589639,36.97533366,0,0,0,0
36,4,G3604,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-04,NY-04-1990,2.604006163,22.63397948,1.421911422,5.474806202,89670.8166,12.65,3.125986738,87.35,97007,98723,261812,37.05215956,37.70759171,0,0,0,0
36,5,G3605,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-05,NY-05-1990,11.65458937,27.89827973,0.913242009,7.077305957,81728.1246,21.54681842,4.342857143,78.45318158,105953,82883,256555,41.29835708,32.30613319,0,0,0,0
36,6,G3606,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-06,NY-06-1990,2.232653859,13.28783835,60.97443905,12.28785744,69157.6358,89.96164456,8.644461684,10.03835544,96972,18725,160228,60.52125721,11.68647178,0,0,0,0
36,7,G3607,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-07,NY-07-1990,6.418703671,15.2529464,1.421675053,22.35420421,54549.7921,45.60923357,10.7730203,54.39076643,72280,46218,171124,42.23837685,27.00848508,0,0,0,0
36,8,G3608,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-08,NY-08-1990,6.542563923,17.62892193,2.342268015,9.246567043,49710.7342,22.90024638,15.8385783,77.09975362,132172,25548,227585,58.07588374,11.22569589,0,0,0,0
36,9,G3609,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-09,NY-09-1990,3.968253968,20.98765432,0.88365243,6.693306693,64885.2654,16.61048115,7.502896871,83.38951885,111424,0,213204,52.26168365,0,0,1,0,0
36,10,G3610,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-10,NY-10-1990,0.575342466,8.409986859,62.57688572,19.22089041,38094.0938,97.14814815,28.44827586,2.851851852,93801,0,160115,58.5835181,0,0,1,0,0
36,11,G3611,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-11,NY-11-1990,1.058884298,12.40981241,82.88828338,9.323347107,48240.0668,96.83741648,18.73312565,3.162583519,76724,0,128115,59.88682043,0,0,1,0,0
36,12,G3612,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-12,NY-12-1990,5.781644681,8.679401993,4.600938967,64.33470508,35403.0082,88.24154418,30.6876704,11.75845582,55926,12288,104485,53.52538642,11.76053979,0,0,0,0
36,13,G3613,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-13,NY-13-1990,3.526034728,19.86620532,0.545967085,5.944543646,66778.455,12.17622229,7.582330307,87.82377771,68738,92144,217142,31.65578285,42.43490435,0,0,0,0
36,14,G3614,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-14,NY-14-1990,4.251057573,54.9324973,1.692554519,7.530428825,73197.891,16.74726474,7.845032169,83.25273526,97059,92034,238720,40.65809316,38.55311662,0,0,0,0
36,15,G3615,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-15,NY-15-1990,0.662233905,10.895411,46.64847476,34.00006849,30451.5195,97.10378206,35.53669362,2.896217945,101229,0,154358,65.58066313,0,0,1,0,0
36,16,G3616,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-16,NY-16-1990,0.446428571,5.648469549,31.30208333,60.51004637,25937.0602,98.31211954,43.86281588,1.687880465,80927,6741,132082,61.2702715,5.103647734,0,0,0,0
36,17,G3617,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-17,NY-17-1990,2.502036733,15.83855176,23.17346469,16.43590434,57508.3542,68.46773135,10.48553835,31.53226865,94758,16511,166357,56.96063286,9.925040726,0,0,0,0
36,18,G3618,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-18,NY-18-1990,3.713763679,34.79697182,2.204479087,5.040943398,85852.7029,13.52428698,3.873490104,86.47571302,115841,74076,243057,47.66001391,30.47680174,0,0,0,0
36,19,G3619,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-19,NY-19-1990,1.624147957,27.31065171,3.03613384,3.328126323,90797.8447,9.33777472,3.307194693,90.66222528,92854,119047,267291,34.73891751,44.53834959,0,0,0,0
36,20,G3620,1990,New York,Northeast Region,Middle Atlantic Division,G36,NY,NY-20,NY-20-1990,1.473492329,21.80349933,2.529579763,4.156206416,76429.3698,10.93305219,5.260960334,89.06694781,66826,150301,265011,25.21631178,56.71500428,0,0,0,0
