cd_id,year,dem_vote,repub_vote,total_vote,pct_dem,pct_gop
G3000,1990,203711,189570,403735,50.45661139,46.9540664
G3101,1990,96309,142713,239108,40.27845158,59.68558141
G3102,1990,119512,113828,233372,51.21094219,48.7753458
G3103,1990,67457,170857,238355,28.30106354,71.68173523
G3201,1990,128278,84217,221488,57.91645597,38.02327891
G3202,1990,117199,129575,270461,43.33304987,47.90894066
G3301,1990,108578,135936,255681,42.46619811,53.16625013
G3302,1990,157328,91126,255088,61.67597065,35.72335821
G3401,1990,153525,65123,228072,67.31426918,28.55370234
G3402,1990,132465,98315,237027,55.8860383,41.47839698
G3403,1990,94012,151368,255798,36.75243747,59.17481763
G3404,1990,84514,149095,241225,35.03534045,61.80744119
G3405,1990,67579,196198,274371,24.63051853,71.50828623
G3406,1990,118266,100949,226093,52.30856329,44.64932572
G3407,1990,105761,132174,248082,42.63146863,53.27835151
G3408,1990,96742,84674,205828,47.00137979,41.13823192
G3409,1990,139188,88179,238704,58.30987332,36.94072994
G3410,1990,117287,30160,149632,78.38363452,20.15611634
G3411,1990,68871,188165,268436,25.65639482,70.09678285
G3412,1990,83035,174216,272757,30.4428484,63.87223793
G3413,1990,93670,44529,145714,64.28345938,30.55917757
G3501,1990,76600,128426,205214,37.32688803,62.58150029
G3502,1990,73157,94838,168170,43.50181364,56.39412499
G3503,1990,122850,54569,182217,67.41961507,29.94726068
G3601,1990,111908,87248,257043,43.53668452,33.94295896
G3602,1990,91320,94208,232997,39.19363769,40.43313862
G3603,1990,116915,108574,293639,39.81589639,36.97533366
G3604,1990,97007,98723,261812,37.05215956,37.70759171
G3605,1990,105953,82883,256555,41.29835708,32.30613319
G3606,1990,96972,18725,160228,60.52125721,11.68647178
G3607,1990,72280,46218,171124,42.23837685,27.00848508
G3608,1990,132172,25548,227585,58.07588374,11.22569589
G3609,1990,111424,0,213204,52.26168365,0
G3610,1990,93801,0,160115,58.5835181,0
G3611,1990,76724,0,128115,59.88682043,0
G3612,1990,55926,12288,104485,53.52538642,11.76053979
G3613,1990,68738,92144,217142,31.65578285,42.43490435
G3614,1990,97059,92034,238720,40.65809316,38.55311662
G3615,1990,101229,0,154358,65.58066313,0
G3616,1990,80927,6741,132082,61.2702715,5.103647734
G3617,1990,94758,16511,166357,56.96063286,9.925040726
G3618,1990,115841,74076,243057,47.66001391,30.47680174
G3619,1990,92854,119047,267291,34.73891751,44.53834959
G3620,1990,66826,150301,265011,25.21631178,56.71500428
G3621,1990,149319,83845,297006,50.27474192,28.23006943
G3622,1990,86896,136909,284496,30.54383893,48.12334796
G3623,1990,61835,139774,252880,24.4523094,55.27285669
G3624,1990,47675,113408,231046,20.63441912,49.08459787
G3625,1990,101422,119282,266033,38.12384178,44.83729462
G3626,1990,112763,98389,266740,42.27449951,36.88573142
G3627,1990,89906,126997,277339,32.41736647,45.79125186
G3628,1990,140908,93806,275326,51.17860282,34.07088324
G3629,1990,120758,85294,264526,45.65071108,32.24408943
G3630,1990,102519,114921,265097,38.67225959,43.35054716
G3631,1990,52010,133758,247194,21.0401547,54.11053666
G3701,1990,116078,54457,173262,66.99564821,31.43043483
G3702,1990,113693,93893,211569,53.738024,44.37937505
G3703,1990,101739,80759,187050,54.39133921,43.17508688
G3704,1990,171299,89345,265060,64.62649966,33.70746246
G3705,1990,117835,102086,223683,52.67946156,45.63869404
G3706,1990,67200,162822,230022,29.21459686,70.78540314
G3707,1990,92414,66536,163101,56.66059681,40.79435442
G3708,1990,113162,71842,195451,57.89788745,36.75703885
G3709,1990,74583,153650,228245,32.67672895,67.31801354
G3710,1990,79206,149033,235127,33.68647582,63.38404352
G3711,1990,108003,130158,238161,45.34873468,54.65126532
G3712,1990,127262,49402,180824,70.378932,27.32048843
G3800,1990,169273,117442,297898,56.82246944,39.42356108
G3901,1990,120190,0,234433,51.26837945,0
G3902,1990,75924,177720,253651,29.93246626,70.06477404
G3903,1990,146072,98733,244811,59.66725351,40.33029562
G3904,1990,92608,147346,240440,38.5160539,61.28181667
G3905,1990,0,187860,187860,0,100
G3906,1990,122720,119252,241972,50.71661184,49.28338816
G3907,1990,66237,164195,230432,28.7447056,71.2552944
G3908,1990,62033,176362,238395,26.02109944,73.97890056
G3909,1990,178879,53011,243102,73.58187098,21.80607317
G3910,1990,103788,136433,240239,43.20197803,56.79052943
G3911,1990,154718,43866,223624,69.18667048,19.61596251
G3912,1990,68761,170297,239058,28.76331267,71.23668733
G3913,1990,134486,88889,252258,53.31287809,35.23733638
G3914,1990,165335,78659,243994,67.76191218,32.23808782
G3915,1990,94907,110390,250205,37.93169601,44.11982175
G3916,1990,90224,158489,248713,36.27635065,63.72364935
G3917,1990,216503,40743,257246,84.16185286,15.83814714
G3918,1990,166189,77229,243418,68.27309402,31.72690598
G3919,1990,138465,124606,263083,52.63167898,47.36375973
G4001,1990,106619,119211,225830,47.21206217,52.78793783
G4002,1990,118542,87657,213513,55.51980441,41.05464304
G4003,1990,155934,51725,207659,75.09137577,24.90862423
G4004,1990,140841,58235,199076,70.74735277,29.25264723
G4005,1990,107579,123237,230816,46.60812075,53.39187925
G4006,1990,134734,64068,198802,67.77296003,32.22703997
G4101,1990,152917,140986,294154,51.98535461,47.92931594
G4102,1990,90036,184163,274478,32.80262899,67.09572352
G4103,1990,208028,50235,269879,77.08195154,18.61389734
G4104,1990,199372,79733,279299,71.38299815,28.54754224
G4105,1990,174443,97984,272944,63.91164488,35.89893898
G4201,1990,150172,35419,185591,80.91556164,19.08443836
G4202,1990,164355,47906,213927,76.82760942,22.39362025
G4203,1990,130828,86787,221971,58.9392308,39.09835069
G4204,1990,186684,48484,237922,78.46437068,20.37810711
G4205,1990,0,188911,188911,0,100
G4206,1990,108312,99694,208006,52.07157486,47.92842514
G4207,1990,91623,180648,273898,33.45150384,65.9544794
G4208,1990,114095,129593,249538,45.72249517,51.9331725
G4209,1990,0,182406,182406,0,100
G4210,1990,0,189414,209548,0,90.39170023
G4211,1990,138875,68112,206987,67.09358559,32.90641441
G4212,1990,166916,0,166916,100,0
G4213,1990,127685,126312,253997,50.27027878,49.72972122
G4214,1990,165633,61311,229038,72.31682079,26.76892044
G4215,1990,111419,99520,213324,52.22994131,46.65204103
G4216,1990,74741,137823,212564,35.16164543,64.83835457
G4217,1990,65881,150158,216039,30.49495693,69.50504307
G4218,1990,96655,154024,254329,38.00392405,60.56092699
G4219,1990,74798,98599,217587,34.3761346,45.31474766
G4220,1990,114898,111591,226489,50.73005753,49.26994247
G4221,1990,70802,150729,221531,31.96031255,68.03968745
G4401,1990,48092,135982,194089,24.77832335,70.06167274
G4402,1990,144450,49998,204413,70.66576001,24.45930543
G4501,1990,59908,121938,184549,32.4618394,66.07350893
G4502,1990,0,148667,169670,0,87.62126481
G4503,1990,119119,75660,194864,61.12930044,38.8270794
G4504,1990,94182,99879,198410,47.46837357,50.33970062
G4505,1990,112031,70866,183086,61.19036955,38.70640027
G4506,1990,120647,64149,184871,65.26010029,34.69933088
G4600,1990,230070,89375,332902,69.11042889,26.84724033
G4701,1990,47809,114797,170158,28.09682765,67.46494435
G4702,1990,52887,148377,205401,25.74817065,72.23772036
G4703,1990,105693,102763,216533,48.81149755,47.45835508
G4704,1990,98984,50340,154511,64.06275281,32.58020465
G4705,1990,125233,49417,187590,66.75888907,26.34308865
G4706,1990,120177,86289,212428,56.57305063,40.62035137
G4707,1990,72062,125101,202866,35.52197017,61.66681455
G4708,1990,136852,0,163432,83.73635518,0
G4709,1990,123276,60606,212755,57.94270405,28.48628704
G4801,1990,152209,0,152209,100,0
G4802,1990,118625,92176,211350,56.12727703,43.61296428
G4803,1990,0,201569,234139,0,86.08945968
G4804,1990,128008,83875,220333,58.09751603,38.06737983
G4805,1990,98567,62419,167330,58.90575509,37.30293432
G4806,1990,73933,189140,263073,28.10360622,71.89639378
G4807,1990,0,169407,169407,0,100
G4808,1990,53473,179349,232822,22.96733127,77.03266873
G4809,1990,118690,96270,221361,53.61829771,43.49004567
G4810,1990,177233,68646,261892,67.67407939,26.21156813
G4811,1990,199999,58033,178032,112.338793,32.59694886
