GEOID,totpop_race,wht_pop,blk_pop,amin_pop,asn_pop,hisp_pop,hpi_pop,oth_pop,two_pop,thr_pop,totpop_ed,LessHS,HSGrad,SomeCol,BADeg,GradDeg,totpop_pov,pov_pop,allcit_pop,nat_pop,fbnat_pop,fb_pop,nat_ins,fbnat_ins,fb_ins,wht_pop_pct,blk_pop_pct,amin_pop_pct,asn_pop_pct,hisp_pop_pct,hpi_pop_pct,oth_pop_pct,two_pop_pct,thr_pop_pct,LessHS_pct,HSGrad_pct,SomeCol_pct,BADeg_pct,GradDeg_pct,pov_pop_pct,nat_pct,fbnat_pct,fb_pct,nat_ins_pct,fbnat_ins_pct,fb_ins_pct
06099,543194,227369,15311,2481,29284,251259,3625,747,13887,12349,343626,72491,100758,52765,40630,18022,538643,81415,540181,430209,50189,59783,412755,47631,49106,41.85778929811448,2.818698291954624,0.4567428948036982,5.39107574825937,46.25584965960596,0.6673490502472413,0.13751992842336255,2.556545175388535,2.2734050817939817,21.095900775843504,29.321995425258855,15.355357277970816,11.823901567401768,5.244655526648158,15.114834872076683,79.64163863593869,11.067216358961163,11.067216358961163,95.94290217080535,94.903265655821,82.1404078082398
06101,96109,44412,1684,625,14914,29748,376,148,4310,4094,62626,13673,14613,11437,7457,3967,94914,14687,94654,73363,10870,10421,69398,10139,7527,46.21003235909228,1.7521772154532873,0.6503033014598009,15.517797500754352,30.952356178921846,0.3912224661582162,0.15399182178568085,4.484491566866787,4.259746745882279,21.832785105227863,23.333759141570592,18.26238303579983,11.907195094689106,6.334429789544278,15.474008049392083,77.50649734823673,11.00957170325607,11.00957170325607,94.59536823739487,93.27506899724011,72.22915267248824
06103,63912,43679,472,890,967,15958,15,11,1933,1907,43850,6780,13212,8111,4864,2004,63142,13930,63391,58055,2565,2771,55152,2279,1938,68.34240831142822,0.7385154587557892,1.39253974214545,1.5130178996119665,24.96870697208662,0.023469770935035675,0.017211165352359493,3.024471147828264,2.9837902115408688,15.461801596351195,30.129988597491447,18.49714937286203,11.09236031927024,4.57012542759407,22.06138544867125,91.58240128724898,4.371282989698853,4.371282989698853,94.9995693738696,88.84990253411306,69.93865030674846
06105,12700,10427,127,698,210,927,28,51,233,231,9847,752,3428,1531,1411,511,12463,2372,12529,11957,268,304,10809,249,160,82.10236220472441,1,5.496062992125984,1.6535433070866141,7.299212598425196,0.2204724409448819,0.4015748031496063,1.8346456692913387,1.8188976377952755,7.636843708743781,34.8126332893267,15.547882603838733,14.329237331166853,5.1893977861277545,19.03233571371259,95.43459174714663,2.4263708196983,2.4263708196983,90.39892949736556,92.91044776119402,52.63157894736842
06107,461898,131716,5785,2784,14949,298245,624,1002,7103,6483,271351,79125,69314,38750,26586,13111,456186,108512,457857,357568,34141,66148,339734,31820,49186,28.516252505964516,1.2524410151158913,0.6027304729615629,3.2364288219477024,64.56945039813985,0.13509476118103997,0.2169310107426315,1.5377853985078955,1.4035566293857085,29.159649310302893,25.544037059012126,14.28039697660963,9.797642168261772,4.831749284137519,23.78678872214404,78.09599940592805,14.44730559978334,14.44730559978334,95.01241721854305,93.20172226941214,74.35750136058536
06109,54045,43341,948,763,732,6617,123,42,1501,1457,41304,3829,11691,8866,5460,3011,50532,6443,50971,48515,1702,754,45857,1692,643,80.19428254232584,1.7540938107132944,1.4117864742344344,1.3544268665001387,12.243500786381718,0.2275881210102692,0.07771301693033583,2.7773152002960497,2.6959015635118884,9.270288591903931,28.304764671702497,21.465233391439085,13.219058686809996,7.289850861901995,12.750336420486027,95.18157383610288,1.4792725275156462,1.4792725275156462,94.52128207770792,99.41245593419507,85.27851458885941
06111,847263,384818,14297,2017,60710,361601,1421,1138,21913,20609,570146,85256,109206,88146,121499,71176,835220,74645,840257,656346,91601,92310,623147,86261,56928,45.418954917186284,1.6874335359858743,0.23806067301416442,7.16542561164597,42.67871959474213,0.1677165177754723,0.13431484674770408,2.586327976082987,2.432420629721822,14.953362822855901,19.154041245575694,15.460250532319792,21.310155644343727,12.483819933841508,8.937166255597328,78.11252985693663,10.985924544514356,10.985924544514356,94.94184469776611,94.17036931911224,61.670458238544036
06113,217352,101452,5279,663,30155,68704,883,362,10173,9535,127586,17179,23086,16237,27562,25289,209222,39919,215938,165642,23042,27254,160759,22208,22505,46.676359085722694,2.4287791232654863,0.30503515035518425,13.873808384555927,31.609555007545364,0.40625345062387275,0.16655011226029667,4.680426221060768,4.386893150281571,13.464643456178576,18.094461774802877,12.726317934569623,21.60268368002759,19.821140250497706,19.079733488830048,76.7081291852291,12.621215348850132,12.621215348850132,97.05207616425785,96.38052252408646,82.57503485726866
06115,76360,42145,2554,594,5075,21563,296,136,4054,3940,48033,8506,11333,9617,5872,2321,74761,11572,74309,64813,5266,4230,60741,4851,3335,55.192509167103196,3.3446830801466736,0.7778941854374017,6.646149816657935,28.238606600314302,0.3876375065479309,0.17810371922472498,5.309062336301729,5.159769512833944,17.708658630524848,23.594195657152376,20.02165178106718,12.22492869485562,4.8320946016280475,15.478658658926445,87.22092882423395,5.692446406222665,5.692446406222665,93.71730979896007,92.11925560197494,78.84160756501181
08001,504108,252170,16139,2274,19493,201784,536,722,11588,10392,324255,52590,92779,52180,53503,25187,499315,54159,500418,423634,28390,48394,397550,25882,26367,50.02301094209971,3.2014965047172432,0.4510938132304982,3.866830123703651,40.02793052282448,0.10632642211589581,0.14322327755163575,2.2987137676847023,2.0614630198290844,16.218716750705465,28.612974356602056,16.092273056699202,16.500285269309646,7.767652002282155,10.846659924096011,84.65602756095903,9.670715282024227,9.670715282024227,93.84279826453967,91.16590348714337,54.484026945489106
