state_name,st_fips,cd_fips,cd_id,year,dem_vote,repub_vote,total_vote,pct_dem,pct_gop,uncontest,missing
Illinois,17,20,G1720,1990,154869,119219,274088,56.50338577,43.49661423,0,0
Indiana,18,1,G1801,1990,147054,64770,211824,69.4227283,30.5772717,0,0
Indiana,18,2,G1802,1990,130881,90593,229295,57.07974443,39.50936566,0,0
Indiana,18,3,G1803,1990,121269,89834,211103,57.44541764,42.55458236,0,0
Indiana,18,4,G1804,1990,134907,82468,217375,62.06187464,37.93812536,0,0
Indiana,18,5,G1805,1990,107973,112492,220465,48.97512077,51.02487923,0,0
Indiana,18,6,G1806,1990,71952,186499,258455,27.8392757,72.15917665,0,0
Indiana,18,7,G1807,1990,88005,129189,217194,40.51907511,59.48092489,0,0
Indiana,18,8,G1808,1990,125244,108054,238397,52.53589601,45.3252348,0,0
Indiana,18,9,G1809,1990,160980,70057,231037,69.67715128,30.32284872,0,0
Indiana,18,10,G1810,1990,117604,64378,183831,63.9739761,35.02020878,0,0
Iowa,19,1,G1901,1990,81600,178042,261309,31.22739745,68.1346605,0,0
Iowa,19,2,G1902,1990,131570,134536,267892,49.11307542,50.22023801,0,0
Iowa,19,3,G1903,1990,121063,125931,257276,47.05569116,48.94782257,0,0
Iowa,19,4,G1904,1990,158610,94045,257593,61.57387817,36.50914427,0,0
Iowa,19,5,G1905,1990,0,196942,198366,0,99.28213504,1,0
Kansas,20,1,G2001,1990,83620,194912,285297,29.30980697,68.31897987,0,0
Kansas,20,2,G2002,1990,151019,109801,268806,56.18140964,40.84767453,0,0
Kansas,20,3,G2003,1990,110071,169929,292791,37.59371019,58.0376446,0,0
Kansas,20,4,G2004,1990,143671,117070,278016,51.6772416,42.10908725,0,0
Kentucky,21,1,G2101,1990,128524,83088,212574,60.46082776,39.08662395,0,0
Kentucky,21,2,G2102,1990,126894,79684,206578,61.42667661,38.57332339,0,0
Kentucky,21,3,G2103,1990,148066,132689,280770,52.73569114,47.25896641,0,0
Kentucky,21,4,G2104,1990,86890,139634,226524,38.35796648,61.64203352,0,0
Kentucky,21,5,G2105,1990,95760,115255,211015,45.38066014,54.61933986,0,0
Kentucky,21,6,G2106,1990,135613,87816,223450,60.6905348,39.30006713,0,0
Louisiana,22,1,G2201,1990,0,-99,-99,0,100,1,1
Louisiana,22,2,G2202,1990,-99,0,-99,100,0,1,1
Louisiana,22,3,G2203,1990,-99,0,-99,100,0,1,1
Louisiana,22,4,G2204,1990,194831,0,194831,100,0,1,0
Louisiana,22,5,G2205,1990,90079,153501,243580,36.98127925,63.01872075,0,0
Louisiana,22,6,G2206,1990,0,245178,245178,0,100,1,0
Louisiana,22,7,G2207,1990,-99,0,-99,100,0,1,1
Maine,23,1,G2301,1990,232696,125236,358148,64.97202274,34.967667,0,0
Maine,23,2,G2302,1990,130824,153022,311433,42.00710907,49.13480588,0,0
Maryland,24,1,G2401,1990,112771,120084,232855,48.42970948,51.57029052,0,0
Maryland,24,2,G2402,1990,88658,165443,254101,34.89085049,65.10914951,0,0
Maryland,24,3,G2403,1990,163354,58869,222223,73.50904272,26.49095728,0,0
Maryland,24,4,G2404,1990,136902,45166,182068,75.19278511,24.80721489,0,0
Maryland,24,5,G2405,1990,118312,97982,223284,52.98722703,43.8822307,0,0
Maryland,24,6,G2406,1990,106224,125564,231788,45.82808428,54.17191572,0,0
Maryland,24,7,G2407,1990,152689,26304,178993,85.30445325,14.69554675,0,0
Maryland,24,8,G2408,1990,77042,203377,280419,27.47388729,72.52611271,0,0
Massachusetts,25,1,G2501,1990,135049,113828,262120,51.52182207,43.4259118,0,0
Massachusetts,25,2,G2502,1990,131215,76795,247163,53.0884477,31.07058904,0,0
Massachusetts,25,3,G2503,1990,115587,131473,260932,44.29774807,50.3859243,0,0
Massachusetts,25,4,G2504,1990,182633,70665,269812,67.68898344,26.19045854,0,0
Massachusetts,25,5,G2505,1990,133844,96206,256564,52.16788014,37.49785629,0,0
Massachusetts,25,6,G2506,1990,130248,159165,290312,44.86483507,54.82549808,0,0
