GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021,ADNEM001,ADNEM002,ADNEM003,ADNEM004,ADNEM005,ADNEM006,ADNEM007,ADNEM008
"G51010","2011-2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,"Congressional District 10 (114th Congress), Virginia",782678,683537,498253,52656,1309,102363,433,2661,25862,1312,24550,99141,70827,1799,364,496,4,18547,7104,2964,4140,776375,18026,22143,15493,18605,22731,11241,668136,"Congressional District 10 (114th Congress), Virginia",2432,2189,2233,1556,221,2079,105,689,1672,444,1700,1522,2273,497,224,226,6,1906,980,646,825,2552,1690,2485,1574,1786,2447,1622,4663
"G51011","2011-2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,,"11",,,,,,,,,,,"Congressional District 11 (114th Congress), Virginia",771956,633269,366684,96630,1027,137276,579,1908,29165,1034,28131,138687,94311,4306,1063,384,76,29662,8885,4045,4840,763653,22681,26586,18186,17856,28853,10709,638782,"Congressional District 11 (114th Congress), Virginia",3834,3484,2995,2359,300,2706,253,467,1725,282,1780,3072,3455,909,457,140,65,2268,983,777,757,3828,1930,2563,1901,1903,2915,1519,4676
"G53001","2011-2015",,,"Washington","53",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Washington",706079,644666,535650,7959,6361,67651,1588,1199,24258,566,23692,61413,38447,467,1126,408,4,16675,4286,1986,2300,698006,28482,30525,17758,19250,28962,12847,560182,"Congressional District 1 (114th Congress), Washington",2824,3169,3452,940,617,1897,400,420,1525,221,1505,2553,2920,167,321,156,7,1664,688,439,536,2791,2053,2123,1889,1543,2552,1485,4891
"G53002","2011-2015",,,"Washington","53",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Washington",696458,624583,506836,17959,8137,56020,3768,671,31192,702,30490,71875,46435,1102,991,439,273,16613,6022,3018,3004,682920,44073,45407,24829,29928,41165,18640,478878,"Congressional District 2 (114th Congress), Washington",2290,2232,2376,1039,659,1478,465,220,1820,320,1786,1706,2165,460,322,212,211,2015,794,543,556,2449,2837,2551,1675,2484,2581,1819,4748
"G53003","2011-2015",,,"Washington","53",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (114th Congress), Washington",692893,632025,565221,9619,5396,21613,3498,972,25706,316,25390,60868,37314,654,745,458,160,16812,4725,2272,2453,685491,37900,52919,30505,35629,45244,20010,463284,"Congressional District 3 (114th Congress), Washington",1187,927,1160,609,457,814,329,529,1065,110,1074,812,1739,220,263,208,155,1557,574,413,445,1308,2081,2773,1967,2501,2787,1479,4782
"G53004","2011-2015",,,"Washington","53",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (114th Congress), Washington",699457,436259,387830,7006,15093,10512,485,492,14841,259,14582,263198,144103,665,1761,485,103,106489,9592,6254,3338,688569,46255,79820,43911,45812,56766,23974,392031,"Congressional District 4 (114th Congress), Washington",660,608,736,501,680,476,98,178,986,262,942,659,3953,268,420,292,65,3852,1286,1116,612,1123,2872,3702,3086,2958,3106,2134,5481
"G53005","2011-2015",,,"Washington","53",,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,"Congressional District 5 (114th Congress), Washington",685344,643532,580265,10572,10676,16043,2279,566,23131,354,22777,41812,26941,593,1160,226,78,9161,3653,1382,2271,657188,52457,61143,34495,33084,47087,18093,410829,"Congressional District 5 (114th Congress), Washington",460,320,391,617,647,606,240,300,1164,141,1146,394,1141,269,319,132,70,984,512,313,408,1188,2101,2635,2156,1986,2350,1375,4455
"G53006","2011-2015",,,"Washington","53",,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,"Congressional District 6 (114th Congress), Washington",680773,632031,529173,24046,12273,27100,3601,990,34848,380,34468,48742,29583,1058,1405,525,205,10695,5271,2056,3215,660635,41453,45955,27267,26050,42158,16517,461235,"Congressional District 6 (114th Congress), Washington",2178,2258,2158,1478,593,1368,478,472,1568,143,1574,1257,1456,471,399,187,173,1246,824,500,653,2351,2095,2331,1845,1655,2292,1553,4910
"G53007","2011-2015",,,"Washington","53",,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,"Congressional District 7 (114th Congress), Washington",713395,660064,508694,30906,4286,75636,3558,1326,35658,524,35134,53331,30299,787,1130,475,204,13985,6451,2998,3453,696221,43379,38654,17656,21231,27792,12636,534873,"Congressional District 7 (114th Congress), Washington",2882,3841,3220,1724,645,2480,831,349,1687,212,1653,2426,1882,315,502,182,153,1433,883,598,638,2992,2320,1965,1529,1855,1951,1221,4514
"G53008","2011-2015",,,"Washington","53",,,,,,,,,,,,,,,,,,,"08",,,,,,,,,,,"Congressional District 8 (114th Congress), Washington",705178,631917,519224,18130,6084,54270,4452,824,28933,447,28486,73261,45962,938,798,367,109,19276,5811,3163,2648,697924,33658,37938,20458,23595,32599,15101,534575,"Congressional District 8 (114th Congress), Washington",2679,3018,3209,1776,639,1928,942,312,1580,161,1574,2906,2463,573,348,215,77,2061,1007,803,590,2613,2261,2347,1749,2410,2549,1632,5034
"G53009","2011-2015",,,"Washington","53",,,,,,,,,,,,,,,,,,,"09",,,,,,,,,,,"Congressional District 9 (114th Congress), Washington",705071,620596,334834,76485,3950,156938,8112,1356,38921,1308,37613,84475,46483,1618,1560,634,127,26502,7551,3261,4290,696920,43779,52006,28763,31431,39261,16559,485121,"Congressional District 9 (114th Congress), Washington",3065,3629,3399,2342,468,2878,1015,463,2063,495,2036,2717,2879,357,447,203,88,2605,972,706,771,2871,2644,3004,2061,2210,2299,1663,4838
"G53010","2011-2015",,,"Washington","53",,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,"Congressional District 10 (114th Congress), Washington",700816,624303,475501,41104,8582,45145,11191,1071,41709,509,41200,76513,45382,1556,1752,556,364,18757,8146,3214,4932,686819,40921,51788,30701,30585,43434,17773,471617,"Congressional District 10 (114th Congress), Washington",2695,2889,2554,1561,747,1517,662,335,1750,323,1677,1882,2083,478,496,217,170,1622,1123,525,889,2786,2499,3066,2128,2197,2898,1539,4828
"G54001","2011-2015",,,"West Virginia","54",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), West Virginia",617868,610101,579364,14746,908,5598,164,300,9021,280,8741,7767,5935,151,55,2,127,885,612,300,312,594256,49719,54051,30071,31776,45475,18709,364455,"Congressional District 1 (114th Congress), West Virginia",0,317,1053,934,215,291,95,105,730,172,725,317,449,75,42,3,152,210,220,123,172,1073,2466,2625,1639,2049,2236,1395,4275
